time,cycle,stage,phase,temperature
280.0,2,extension,ramp,68.11
280.5,2,extension,ramp,68.9
281.0,2,extension,ramp,70.01
281.5,2,extension,ramp,70.93
282.0,2,extension,ramp,72.12
282.5,2,extension,hold,72.06
283.0,2,extension,hold,72.02
283.5,2,extension,hold,71.81
284.0,2,extension,hold,72.14
284.5,2,extension,hold,72.13
285.0,2,extension,hold,71.92
285.5,2,extension,hold,72.06
286.0,2,extension,hold,72.04
286.5,2,extension,hold,71.98
287.0,2,extension,hold,71.9
287.5,2,extension,hold,71.88
288.0,2,extension,hold,71.93
288.5,2,extension,hold,72.06
289.0,2,extension,hold,72.0
289.5,2,extension,hold,71.9
290.0,2,extension,hold,71.99
290.5,2,extension,hold,71.64
291.0,2,extension,hold,72.06
291.5,2,extension,hold,71.76
292.0,2,extension,hold,71.94
292.5,2,extension,hold,71.84
293.0,2,extension,hold,71.79
293.5,2,extension,hold,72.03
294.0,2,extension,hold,71.86
294.5,2,extension,hold,71.95
295.0,2,extension,hold,71.9
295.5,2,extension,hold,71.96
296.0,2,extension,hold,71.9
296.5,2,extension,hold,71.79
297.0,2,extension,hold,72.02
297.5,2,extension,hold,71.89
298.0,2,extension,hold,71.79
298.5,2,extension,hold,71.91
299.0,2,extension,hold,72.12
299.5,2,extension,hold,72.06
300.0,2,extension,hold,71.95
300.5,2,extension,hold,71.98
301.0,2,extension,hold,71.99
301.5,2,extension,hold,72.24
302.0,2,extension,hold,72.07
302.5,2,extension,hold,72.1
303.0,2,extension,hold,72.15
303.5,2,extension,hold,72.11
304.0,2,extension,hold,72.06
304.5,2,extension,hold,72.03
305.0,2,extension,hold,72.05
305.5,2,extension,hold,72.04
306.0,2,extension,hold,72.13
306.5,2,extension,hold,72.05
307.0,2,extension,hold,72.11
307.5,2,extension,hold,71.99
308.0,2,extension,hold,72.0
308.5,2,extension,hold,71.74
309.0,2,extension,hold,72.0
309.5,2,extension,hold,71.96
310.0,2,extension,hold,72.04
310.5,2,extension,hold,71.66
311.0,2,extension,hold,72.14
311.5,2,extension,hold,71.92
312.0,2,extension,hold,72.04
312.5,2,extension,hold,71.8
313.0,2,extension,hold,72.0
313.5,2,extension,hold,71.85
314.0,2,extension,hold,71.89
314.5,2,extension,hold,72.14
315.0,2,extension,hold,71.94
315.5,2,extension,hold,71.94
316.0,2,extension,hold,72.0
316.5,2,extension,hold,71.95
317.0,2,extension,hold,71.89
317.5,2,extension,hold,71.91
318.0,2,extension,hold,72.15
318.5,2,extension,hold,71.91
319.0,2,extension,hold,71.93
319.5,2,extension,hold,72.02
320.0,2,extension,hold,72.06
320.5,2,extension,hold,72.08
321.0,2,extension,hold,72.03
321.5,2,extension,hold,71.84
322.0,2,extension,hold,72.13
322.5,2,extension,hold,71.86
323.0,2,extension,hold,72.02
323.5,2,extension,hold,71.93
324.0,2,extension,hold,72.02
324.5,2,extension,hold,72.05
325.0,2,extension,hold,72.07
325.5,2,extension,hold,72.09
326.0,2,extension,hold,72.25
326.5,2,extension,hold,72.12
327.0,2,extension,hold,72.08
327.5,2,extension,hold,72.21
328.0,2,extension,hold,72.22
328.5,2,extension,hold,71.97
329.0,2,extension,hold,72.14
329.5,2,extension,hold,72.16
330.0,2,extension,hold,72.07
330.5,2,extension,hold,72.23
331.0,2,extension,hold,72.08
331.5,2,extension,hold,72.15
332.0,2,extension,hold,72.15
332.5,2,extension,hold,72.18
333.0,2,extension,hold,72.07
333.5,2,extension,hold,72.04
334.0,2,extension,hold,72.35
334.5,2,extension,hold,72.09
335.0,2,extension,hold,72.07
335.5,2,extension,hold,71.92
336.0,2,extension,hold,72.08
336.5,2,extension,hold,72.02
337.0,2,extension,hold,72.31
337.5,2,extension,hold,72.28
338.0,2,extension,hold,72.08
338.5,2,extension,hold,72.35
339.0,2,extension,hold,72.22
339.5,2,extension,hold,72.12
340.0,2,extension,hold,71.93
340.5,2,extension,hold,72.4
341.0,2,extension,hold,72.05
341.5,2,extension,hold,72.03
342.0,2,extension,hold,72.29
342.5,3,denature,ramp,73.24
343.0,3,denature,ramp,74.14
343.5,3,denature,ramp,75.06
344.0,3,denature,ramp,76.06
344.5,3,denature,ramp,77.09
345.0,3,denature,ramp,78.08
345.5,3,denature,ramp,79.03
346.0,3,denature,ramp,80.01
346.5,3,denature,ramp,80.99
347.0,3,denature,ramp,81.92
347.5,3,denature,ramp,82.97
348.0,3,denature,ramp,83.83
348.5,3,denature,ramp,84.99
349.0,3,denature,ramp,85.9
349.5,3,denature,ramp,86.89
350.0,3,denature,ramp,88.02
350.5,3,denature,ramp,89.14
351.0,3,denature,ramp,90.09
351.5,3,denature,ramp,90.84
352.0,3,denature,ramp,91.9
352.5,3,denature,ramp,93.09
353.0,3,denature,ramp,93.9
353.5,3,denature,ramp,94.98
354.0,3,denature,hold,95.03
354.5,3,denature,hold,94.84
355.0,3,denature,hold,95.03
355.5,3,denature,hold,95.05
356.0,3,denature,hold,94.76
356.5,3,denature,hold,95.0
357.0,3,denature,hold,95.05
357.5,3,denature,hold,94.82
358.0,3,denature,hold,95.11
358.5,3,denature,hold,94.99
359.0,3,denature,hold,94.88
359.5,3,denature,hold,94.98
360.0,3,denature,hold,95.04
360.5,3,denature,hold,94.98
361.0,3,denature,hold,95.03
361.5,3,denature,hold,94.9
362.0,3,denature,hold,95.01
362.5,3,denature,hold,94.85
363.0,3,denature,hold,94.96
363.5,3,denature,hold,94.87
364.0,3,denature,hold,94.86
364.5,3,denature,hold,95.09
365.0,3,denature,hold,95.05
365.5,3,denature,hold,94.99
366.0,3,denature,hold,94.81
366.5,3,denature,hold,94.9
367.0,3,denature,hold,95.05
367.5,3,denature,hold,94.97
368.0,3,denature,hold,95.17
368.5,3,denature,hold,94.98
369.0,3,denature,hold,94.95
369.5,3,denature,hold,94.94
370.0,3,denature,hold,94.96
370.5,3,denature,hold,94.94
371.0,3,denature,hold,95.04
371.5,3,denature,hold,95.07
372.0,3,denature,hold,94.89
372.5,3,denature,hold,94.84
373.0,3,denature,hold,94.79
373.5,3,denature,hold,95.02
374.0,3,denature,hold,94.88
374.5,3,denature,hold,94.81
375.0,3,denature,hold,95.06
375.5,3,denature,hold,95.24
376.0,3,denature,hold,94.99
376.5,3,denature,hold,95.13
377.0,3,denature,hold,95.03
377.5,3,denature,hold,95.05
378.0,3,denature,hold,95.18
378.5,3,denature,hold,95.05
379.0,3,denature,hold,95.12
379.5,3,denature,hold,95.16
380.0,3,denature,hold,95.05
380.5,3,denature,hold,95.21
381.0,3,denature,hold,95.08
381.5,3,denature,hold,95.01
382.0,3,denature,hold,95.12
382.5,3,denature,hold,94.95
383.0,3,denature,hold,95.05
383.5,3,denature,hold,95.03
384.0,3,anneal,ramp,94.36
384.5,3,anneal,ramp,93.55
385.0,3,anneal,ramp,92.75
385.5,3,anneal,ramp,92.08
386.0,3,anneal,ramp,91.39
386.5,3,anneal,ramp,90.56
387.0,3,anneal,ramp,89.75
387.5,3,anneal,ramp,88.87
388.0,3,anneal,ramp,88.14
388.5,3,anneal,ramp,87.47
389.0,3,anneal,ramp,86.69
389.5,3,anneal,ramp,85.98
390.0,3,anneal,ramp,85.26
390.5,3,anneal,ramp,84.55
391.0,3,anneal,ramp,83.74
391.5,3,anneal,ramp,83.05
392.0,3,anneal,ramp,82.26
392.5,3,anneal,ramp,81.3
393.0,3,anneal,ramp,80.66
393.5,3,anneal,ramp,79.99
394.0,3,anneal,ramp,79.13
394.5,3,anneal,ramp,78.56
395.0,3,anneal,ramp,77.9
395.5,3,anneal,ramp,77.12
396.0,3,anneal,ramp,76.23
396.5,3,anneal,ramp,75.65
397.0,3,anneal,ramp,74.76
397.5,3,anneal,ramp,73.97
398.0,3,anneal,ramp,73.19
398.5,3,anneal,ramp,72.47
399.0,3,anneal,ramp,71.71
399.5,3,anneal,ramp,71.02
400.0,3,anneal,ramp,70.27
400.5,3,anneal,ramp,69.5
401.0,3,anneal,ramp,68.79
401.5,3,anneal,ramp,68.12
402.0,3,anneal,ramp,67.34
402.5,3,anneal,ramp,66.35
403.0,3,anneal,ramp,65.49
403.5,3,anneal,ramp,65.09
404.0,3,anneal,ramp,64.11
404.5,3,anneal,ramp,63.48
405.0,3,anneal,ramp,62.63
405.5,3,anneal,ramp,61.82
406.0,3,anneal,ramp,61.3
406.5,3,anneal,ramp,60.58
407.0,3,anneal,ramp,59.69
407.5,3,anneal,ramp,58.74
408.0,3,anneal,ramp,58.2
408.5,3,anneal,ramp,57.54
409.0,3,anneal,ramp,56.6
409.5,3,anneal,ramp,56.02
410.0,3,anneal,ramp,55.25
410.5,3,anneal,ramp,55.06
411.0,3,anneal,hold,54.97
411.5,3,anneal,hold,54.9
412.0,3,anneal,hold,54.9
412.5,3,anneal,hold,54.81
413.0,3,anneal,hold,55.21
413.5,3,anneal,hold,54.87
414.0,3,anneal,hold,54.95
414.5,3,anneal,hold,54.93
415.0,3,anneal,hold,54.99
415.5,3,anneal,hold,55.07
416.0,3,anneal,hold,55.05
416.5,3,anneal,hold,54.87
417.0,3,anneal,hold,54.94
417.5,3,anneal,hold,54.98
